# Wikidata (CC0): ISO 3166-2 code (P300) by GeoNames id (P1566).
# Query date: 2026-09-26
# Query: SELECT ?geonames ?iso WHERE { ?item wdt:P300 ?iso ; wdt:P1566 ?geonames . }
1259424	IN-PY
1261029	IN-OD
1262271	IN-NL
1262963	IN-MZ
1263207	IN-ML
1263706	IN-MN
1264418	IN-MH
1264542	IN-MP
1265206	IN-LD
1265343	IN-LA
126584	IR-12
1267254	IN-KL
1267701	IN-KA
126878	IR-17
1270101	IN-HP
1270260	IN-HR
1270770	IN-GJ
127082	IR-06
1271155	IN-DD
1271157	IN-GA
1273293	IN-DL
1273726	IN-DN
1274744	IN-CH
1275715	IN-BR
1278253	IN-AS
1278341	IN-AR
1278629	IN-AP
1278647	IN-AN
1279685	CN-XZ
1280239	CN-QH
1281843	MV-04
1281881	MV-08
1281892	MV-24
1281893	MV-01
1281918	MV-13
1281937	MV-25
1281945	MV-29
1281985	MV-12
1282027	MV-MLE
1282096	MV-03
1282101	MV-05
1282208	MV-26
128222	IR-05
1282293	MV-23
1282294	MV-07
128231	IR-08
1282328	MV-28
1282329	MV-27
1282393	MV-14
1282447	MV-17
1282478	MV-20
1282497	MV-02
1282797	NP-SE
1282836	NP-SA
1282865	NP-RA
1283000	NP-NA
1283047	NP-ME
1283098	NP-MA
1283112	NP-LU
1283182	NP-KO
1283245	NP-KA
1283316	NP-JA
1283410	NP-GA
1283454	NP-DH
1283606	NP-BH
1283710	NP-BA
1293118	MM-05
1297099	MM-17
1298480	MM-01
1298822	MM-06
1298852	MM-16
1300463	MM-02
130801	IR-16
1308528	MM-15
1311871	MM-04
131222	IR-22
1312604	MM-03
1319539	MM-12
1320233	MM-13
132142	IR-13
1321702	MM-11
1321850	MM-07
1327132	MM-14
133349	IR-01
1336142	BD-04
1337153	BD-52
1337154	BD-64
1337155	BD-14
1337156	BD-46
1337157	BD-32
1337158	BD-28
1337159	BD-55
1337160	BD-19
1337161	BD-48
1337162	BD-24
1337163	BD-03
1337164	BD-45
1337165	BD-54
1337166	BD-E
1337167	BD-44
1337168	BD-59
1337169	BD-49
1337170	BD-57
1337171	BD-41
1337172	BD-21
1337173	BD-34
1337174	BD-63
1337175	BD-18
1337176	BD-26
1337177	BD-42
1337178	BD-13
1337179	BD-C
1337180	BD-53
1337181	BD-15
1337182	BD-40
1337183	BD-35
1337184	BD-17
1337186	BD-62
1337187	BD-36
1337188	BD-61
